SCD-1021,L,1,100004,REDES DE COMPUTADORA,REDES DE COMP.
SCB-1001,L,1,100004,ADMINISTRACIÓN DE BASE DE DATOS,ADM. DE BASE DE DATOS
SCC-1010,L,1,100004,GRAFICACIÓN,GRAFICACIÓN
SCD-1011,L,1,100004,INGENIERIA DE SOFTWARE,ING. DE SOTFWARE
SCC-1014,L,1,100004,LENGUAJES DE INTERFAZ,LENG. DE INT.
SCD-1016,L,1,100004,LENGUAJES Y AUTÓMATAS II,LENG. Y AUT. II
SCD-1004,L,1,100004,CONMUTACIÓN Y ENRUTAMIENTO DE REDES DE DATOS,CONM. Y ENRUT. DE REDES DE DATOS
SCG-1009,L,1,100004,GESTIÓN DE PROYECTOS DE SOFTWARE,GEST. DE PROY. DE SOFTWARE
SCC-1023,L,1,100004,SISTEMAS PROGRAMABLES,SIST. PROGRAMABLES
SCC-1019,L,1,100004,PROGRAMACIÓN LÓGICA Y FUNCIONAL,PROG. LOG. Y FUNC.
SCA-1002,L,1,100004,ADMINISTRACIÓN DE REDES,ADMON. DE REDES
AEB-1055,L,1,100004,PROGRAMACIÓN WEB,PROG. WEB.
SCC-1012,L,1,100004,INTELIGENCIA ARTIFICIAL,INT. ARTIFICIAL
ACF-0901,L,1,100002,CÁLCULO DIFERENCIAL,CALC. DIF
TUT-I,L,1,100005,TUTORIAS I,TUTORIAS I
TUT-II,L,1,100005,TUTORIAS II,TUTORIAS II
DNH-1101,L,1,100005,TALLER DE RELACIONES PUBLICAS,TALLER REL. PUB.
DNM-1102,L,1,100005,LA TECNOLOGÍA Y SU ENTORNO,TEC. Y SU ENT.
DNM-1103,L,1,100005,DESARROLLO DE NUEVOS PRODUCTOS,DESARR. NVOS. PROD.
DNM-1104,L,1,100005,DECISIONES MERCADOLOGICAS,DECIS. MERCAD.
DNQ-1105,L,1,100005,TALLER DE DESTREZAS DIRECTIVAS,TALLER DEST. DIREC.
DND-1106,L,1,100005,TRAMITES LEGALES Y GESTION DEL FINANCIAMIENTO,TRAM. LEG. Y GEST. DEL FIN.
CPF-2101,L,1,100006,INGENIERÍA DE CALIDAD,ING. CALIDAD
CPF-2103,L,1,100006,GESTIÓN DE LOS SISTEMAS DE CALIDAD APLICADOS,GEST. SIS. CAL. APL.
CPJ-2104,L,1,100006,TEMAS SELECTOS DE INGENIERÍA INDUSTRIAL,TEMAS SEL. I.I.
CPF-2105,L,1,100006,MEDICIÓN Y MEJORAMIENTO DE LA PRODUCTIVIDAD,MED. Y MEJ. PRODUC.
CPM-2106,L,1,100006,PRODUCTIVIDAD APLICADA,PRODUC. APLI.
BDM-2101,L,1,100004,PROGRAMACION DE BASE DE DATOS,PROG. B.D.
BDH-2102,L,1,100004,ADMINISTRACION DE SERVIDORES,ADMON. SERV.
